"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.214326210E2,6.150406895E1,2.361049625E1,1.232955713E2,1.639999986E0,1.796000061E2,3.790092468E0,2.500000000E0
1.224327585E2,6.150405439E1,2.361049579E1,1.234091463E2,1.590000033E0,1.776999969E2,3.790092468E0,2.500000000E0
1.234328868E2,6.150403958E1,2.361049611E1,1.237301796E2,1.639999986E0,1.771999969E2,3.790092468E0,2.500000000E0
1.244326670E2,6.150402505E1,2.361049766E1,1.236936693E2,1.620000005E0,1.756999969E2,3.790092468E0,2.500000000E0
1.254325732E2,6.150401141E1,2.361049930E1,1.236148012E2,1.629999995E0,1.771999969E2,3.790092468E0,2.500000000E0
1.264325575E2,6.150399740E1,2.361050007E1,1.235043777E2,1.620000005E0,1.780000000E2,3.790092468E0,2.500000000E0
1.274326072E2,6.150398298E1,2.361050121E1,1.239322229E2,1.659999967E0,1.781000061E2,3.790092468E0,2.500000000E0
1.284328813E2,6.150396897E1,2.361050127E1,1.237225561E2,1.649999976E0,1.793000031E2,3.790092468E0,2.500000000E0
1.294330627E2,6.150395495E1,2.361050054E1,1.236705431E2,1.659999967E0,1.806999969E2,3.790092468E0,2.500000000E0
1.304331372E2,6.150394011E1,2.361050008E1,1.237399895E2,1.629999995E0,1.810000000E2,3.790092468E0,2.500000000E0
1.314331676E2,6.150392577E1,2.361050057E1,1.237980837E2,1.610000014E0,1.790000000E2,3.790092468E0,2.500000000E0
1.324332597E2,6.150391122E1,2.361050149E1,1.241030040E2,1.620000005E0,1.773000031E2,3.790092468E0,2.500000000E0
1.334328875E2,6.150389724E1,2.361050230E1,1.243247338E2,1.669999957E0,1.778999939E2,3.790092468E0,2.500000000E0
1.344329810E2,6.150388282E1,2.361050233E1,1.245574495E2,1.610000014E0,1.798999939E2,3.790092468E0,2.500000000E0
1.354323882E2,6.150386941E1,2.361050176E1,1.244168750E2,1.549999952E0,1.806999969E2,3.790092468E0,2.500000000E0
1.364328767E2,6.150385605E1,2.361050135E1,1.244501897E2,1.570000052E0,1.808000031E2,3.790092468E0,2.500000000E0
1.374332776E2,6.150384202E1,2.361050026E1,1.246194291E2,1.600000024E0,1.813999939E2,3.790092468E0,2.500000000E0
1.384332702E2,6.150382772E1,2.361049953E1,1.244372279E2,1.659999967E0,1.801999969E2,3.790092468E0,2.500000000E0
1.394326210E2,6.150381383E1,2.361049943E1,1.242942116E2,1.590000033E0,1.796999969E2,3.790092468E0,2.500000000E0
1.404330280E2,6.150380006E1,2.361049981E1,1.243081169E2,1.639999986E0,1.788000031E2,3.790092468E0,2.500000000E0
1.414324454E2,6.150378654E1,2.361049980E1,1.245697029E2,1.610000014E0,1.798999939E2,3.790092468E0,2.500000000E0
1.424329165E2,6.150377309E1,2.361049866E1,1.244680077E2,1.580000043E0,1.811999969E2,3.790092468E0,2.500000000E0
1.434328696E2,6.150375943E1,2.361049739E1,1.246328529E2,1.570000052E0,1.818999939E2,3.790092468E0,2.500000000E0
1.444329005E2,6.150374630E1,2.361049767E1,1.241300350E2,1.460000038E0,1.816000061E2,3.790092468E0,2.500000000E0
1.454325617E2,6.150373356E1,2.361050014E1,1.239923909E2,1.519999981E0,1.791000061E2,3.790092468E0,2.500000000E0
1.464330607E2,6.150372031E1,2.361050535E1,1.239531961E2,1.529999971E0,1.750000000E2,3.790092468E0,2.500000000E0
1.474327042E2,6.150370732E1,2.361051200E1,1.236144412E2,1.580000043E0,1.728999939E2,3.790092468E0,2.500000000E0
1.484331501E2,6.150369415E1,2.361051730E1,1.233065087E2,1.629999995E0,1.743000031E2,3.790092468E0,2.500000000E0
1.494327713E2,6.150368157E1,2.361052037E1,1.229940600E2,1.620000005E0,1.778999939E2,3.790092468E0,2.500000000E0
1.504331227E2,6.150366871E1,2.361052075E1,1.232739572E2,1.590000033E0,1.798000031E2,3.790092468E0,2.500000000E0
1.514324934E2,6.150365473E1,2.361052096E1,1.234499716E2,1.710000038E0,1.790000000E2,3.790092468E0,2.500000000E0
1.524330696E2,6.150363986E1,2.361052134E1,1.237398159E2,1.659999967E0,1.786000061E2,3.790092468E0,2.500000000E0
1.534327727E2,6.150362566E1,2.361052218E1,1.237001930E2,1.580000043E0,1.778999939E2,3.790092468E0,2.500000000E0
1.544332688E2,6.150361168E1,2.361052261E1,1.235562001E2,1.529999971E0,1.785000000E2,3.790092468E0,2.500000000E0
1.554324476E2,6.150359737E1,2.361052294E1,1.235646728E2,1.529999971E0,1.780000000E2,3.790092468E0,2.500000000E0
1.564330885E2,6.150358246E1,2.361052415E1,1.232948858E2,1.600000024E0,1.778000031E2,3.790092468E0,2.500000000E0
1.574327349E2,6.150356695E1,2.361052641E1,1.232211432E2,1.620000005E0,1.768000031E2,3.790092468E0,2.500000000E0
1.584332133E2,6.150355090E1,2.361052936E1,1.235392460E2,1.710000038E0,1.763999939E2,3.790092468E0,2.500000000E0
1.594324649E2,6.150353462E1,2.361053305E1,1.236285278E2,1.610000014E0,1.756999969E2,3.790092468E0,2.500000000E0
1.604331010E2,6.150351891E1,2.361053723E1,1.235870728E2,1.549999952E0,1.750000000E2,3.790092468E0,2.500000000E0
1.614328980E2,6.150350343E1,2.361054110E1,1.240478763E2,1.620000005E0,1.750000000E2,3.790092468E0,2.500000000E0
1.624324617E2,6.150348881E1,2.361054577E1,1.237182752E2,1.629999995E0,1.750000000E2,3.790092468E0,2.500000000E0
1.634327651E2,6.150347522E1,2.361055075E1,1.229686310E2,1.639999986E0,1.746999969E2,3.790092468E0,2.500000000E0
1.644332269E2,6.150346282E1,2.361055507E1,1.224953549E2,1.509999990E0,1.741000061E2,3.790092468E0,2.500000000E0
1.654325758E2,6.150345006E1,2.361055856E1,1.223199300E2,1.509999990E0,1.743999939E2,3.790092468E0,2.500000000E0
1.664330556E2,6.150343632E1,2.361056106E1,1.226237523E2,1.590000033E0,1.753000031E2,3.790092468E0,2.500000000E0
1.674332725E2,6.150342326E1,2.361056404E1,1.223964473E2,1.620000005E0,1.748999939E2,3.790092468E0,2.500000000E0
1.684327654E2,6.150341092E1,2.361056815E1,1.216752464E2,1.600000024E0,1.746999969E2,3.790092468E0,2.500000000E0
1.694331365E2,6.150339869E1,2.361057198E1,1.212627004E2,1.590000033E0,1.726999969E2,3.790092468E0,2.500000000E0
1.704324196E2,6.150338704E1,2.361057621E1,1.210342369E2,1.590000033E0,1.715000000E2,3.790092468E0,2.500000000E0
1.714330559E2,6.150337461E1,2.361058081E1,1.213494739E2,1.639999986E0,1.711000061E2,3.790092468E0,2.500000000E0
1.724332689E2,6.150336011E1,2.361058455E1,1.214413817E2,1.690000057E0,1.718000031E2,3.790092468E0,2.500000000E0
1.734326081E2,6.150334582E1,2.361058836E1,1.210229136E2,1.679999948E0,1.723000031E2,3.790092468E0,2.500000000E0
1.744331457E2,6.150333124E1,2.361059275E1,1.211258687E2,1.649999976E0,1.716000061E2,3.790092468E0,2.500000000E0
1.754332702E2,6.150331713E1,2.361059883E1,1.209659458E2,1.750000000E0,1.691000061E2,3.790092468E0,2.500000000E0
1.764332672E2,6.150329908E1,2.361060724E1,1.212220966E2,2.309999943E0,1.678000031E2,3.790092468E0,2.500000000E0
1.774327652E2,6.150327487E1,2.361061771E1,1.209538286E2,3.079999924E0,1.681999969E2,3.790092468E0,2.500000000E0
1.784331722E2,6.150324787E1,2.361062623E1,1.200116691E2,3.039999962E0,1.728999939E2,3.790092468E0,2.500000000E0
1.794329059E2,6.150322056E1,2.361063141E1,1.200240991E2,3.079999924E0,1.741999969E2,3.790092468E0,2.500000000E0
1.804326414E2,6.150319561E1,2.361063659E1,1.202143874E2,2.759999990E0,1.751000061E2,3.790092468E0,2.500000000E0
1.814332670E2,6.150317227E1,2.361064385E1,1.197615496E2,2.849999905E0,1.720000000E2,3.790092468E0,2.500000000E0
1.824330023E2,6.150314752E1,2.361065395E1,1.203096264E2,2.950000048E0,1.711000061E2,3.790092468E0,2.500000000E0
1.834324163E2,6.150312304E1,2.361066493E1,1.206178352E2,2.759999990E0,1.698999939E2,3.790092468E0,2.500000000E0
1.844329723E2,6.150310076E1,2.361067692E1,1.203481040E2,2.730000019E0,1.690000000E2,3.790092468E0,2.500000000E0
1.854323909E2,6.150308137E1,2.361068947E1,1.197172300E2,2.460000038E0,1.676000061E2,3.790092468E0,2.500000000E0
1.864331128E2,6.150306529E1,2.361070167E1,1.194600158E2,2.259999990E0,1.673000031E2,3.790092468E0,2.500000000E0
1.874332711E2,6.150304912E1,2.361071157E1,1.199540832E2,2.369999886E0,1.693000031E2,3.790092468E0,2.500000000E0
1.884325486E2,6.150303019E1,2.361071911E1,1.201769080E2,2.730000019E0,1.721000061E2,3.790092468E0,2.500000000E0
1.894328751E2,6.150301576E1,2.361072437E1,1.198739185E2,1.639999986E0,1.730000000E2,3.790092468E0,2.500000000E0
1.904324122E2,6.150300608E1,2.361072892E1,1.198952734E2,1.629999995E0,1.723000031E2,3.790092468E0,2.500000000E0
1.914327666E2,6.150299609E1,2.361073442E1,1.196427023E2,1.649999976E0,1.703000031E2,3.790092468E0,2.500000000E0
1.924332602E2,6.150298565E1,2.361073999E1,1.196329288E2,1.649999976E0,1.700000000E2,3.790092468E0,2.500000000E0
1.934325190E2,6.150297404E1,2.361074677E1,1.199975440E2,1.639999986E0,1.696999969E2,3.790092468E0,2.500000000E0
1.944332133E2,6.150296209E1,2.361075429E1,1.197815926E2,1.700000048E0,1.701999969E2,3.790092468E0,2.500000000E0
1.954332234E2,6.150294988E1,2.361076128E1,1.197648597E2,1.539999962E0,1.698000031E2,3.790092468E0,2.500000000E0
